Minute,Hour,NO2,O3,Region,Location
2023-07-19 04:40:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-19 04:45:00,4AM,10.35,0.0,Tangerang,Panunggangan Utara
2023-07-19 04:50:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-19 04:55:00,4AM,10.06,0.0,Tangerang,Panunggangan Utara
2023-07-19 05:00:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-19 05:05:00,5AM,8.6,0.0,Tangerang,Panunggangan Utara
2023-07-19 05:10:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-19 05:15:00,5AM,7.43,0.0,Tangerang,Panunggangan Utara
2023-07-19 05:20:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-19 05:25:00,5AM,6.71,0.0,Tangerang,Panunggangan Utara
2023-07-19 05:30:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-19 05:35:00,5AM,5.95,0.0,Tangerang,Panunggangan Utara
2023-07-19 05:40:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-19 05:45:00,5AM,5.83,0.0,Tangerang,Panunggangan Utara
2023-07-19 05:50:00,5AM,,,Tangerang,Panunggangan Utara
2023-07-19 05:55:00,5AM,5.88,0.0,Tangerang,Panunggangan Utara
2023-07-19 06:00:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-19 06:05:00,6AM,6.78,0.0,Tangerang,Panunggangan Utara
2023-07-19 06:10:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-19 06:15:00,6AM,7.3,0.0,Tangerang,Panunggangan Utara
2023-07-19 06:20:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-19 06:25:00,6AM,7.68,0.0,Tangerang,Panunggangan Utara
2023-07-19 06:30:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-19 06:35:00,6AM,8.62,0.0,Tangerang,Panunggangan Utara
2023-07-19 06:40:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-19 06:45:00,6AM,9.66,0.0,Tangerang,Panunggangan Utara
2023-07-19 06:50:00,6AM,,,Tangerang,Panunggangan Utara
2023-07-19 06:55:00,6AM,10.02,0.0,Tangerang,Panunggangan Utara
2023-07-19 07:00:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-19 07:05:00,7AM,10.84,0.0,Tangerang,Panunggangan Utara
2023-07-19 07:10:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-19 07:15:00,7AM,10.21,0.0,Tangerang,Panunggangan Utara
2023-07-19 07:20:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-19 07:25:00,7AM,9.92,0.0,Tangerang,Panunggangan Utara
2023-07-19 07:30:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-19 07:35:00,7AM,8.57,0.0,Tangerang,Panunggangan Utara
2023-07-19 07:40:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-19 07:45:00,7AM,6.04,0.0,Tangerang,Panunggangan Utara
2023-07-19 07:50:00,7AM,,,Tangerang,Panunggangan Utara
2023-07-19 07:55:00,7AM,5.14,0.0,Tangerang,Panunggangan Utara
2023-07-19 08:00:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-19 08:05:00,8AM,2.51,0.0,Tangerang,Panunggangan Utara
2023-07-19 08:10:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-19 08:15:00,8AM,1.48,0.74,Tangerang,Panunggangan Utara
2023-07-19 08:20:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-19 08:25:00,8AM,0.68,0.89,Tangerang,Panunggangan Utara
2023-07-19 08:30:00,8AM,,,Tangerang,Panunggangan Utara
